Description,                       Corr, 2016, 2016preVFP, 2016postVFP, 2017, 2018
Luminosity,                        -,    36.31, 19.50, 16.81, 41.48, 59.83

# Correaltions
Correlation HLT,                   C,    0.03, 0.04, 0.01, 0.02, 0.01
Correlation ID,                    C,    0.05, 0.09, 0.01, 0.01, 0.01
Correlation IO,                    C,    0.29, 0.40, 0.07, 0.01, 0.02

# Prefiring
ECAL prefiring,                    C,    0.11, 0.12, 0.11, 0.10, 0.14
Muon prefiring (stat),             U,    0.30, 0.37, 0.22, 0.0,  0.08
Muon prefiring (stat 17H),         C,    0.08, 0.08, 0.08, 0.0,  0.08
Muon prefiring (syst),             C,    0.33, 0.38, 0.28, 0.0,  0.0

# resolution
Inner track resolution,            C,    -0.24, -0.35, 0.12, 0.15, 0.15
Outer track resolution,            C,    -0.01, -0.02, 0.01, 0.01, 0.0

# Other systematics
Fit stability (2017H),             C,    0.30, 0.30, 0.30, 0.30, 0.30
Fit stability,                     U,    0.10, 0.10, 0.10, 0.10, 0.10

# Statistical
Stat,                              U,    0.03, 0.03, 0.03, 0.03, 0.02
Stat 17H,                          C,    0.35, 0.35, 0.35, 0.35, 0.35
